"Sr. No.","HS Code","HS Description","Country Name","April-2019-20_INR_Cr","April-2019-20_USD_Mn","April-2020-21_INR_Cr","April-2020-21_USD_Mn","April-2021-22_INR_Cr","April-2021-22_USD_Mn","April-2022-23_INR_Cr","April-2022-23_USD_Mn","April-2023-24_INR_Cr","April-2023-24_USD_Mn","April-2024-25_INR_Cr","April-2024-25_USD_Mn","April-2025-26_INR_Cr","April-2025-26_USD_Mn","April-2026-27_INR_Cr","April-2026-27_USD_Mn","August-2019-20_INR_Cr","August-2019-20_USD_Mn","August-2020-21_INR_Cr","August-2020-21_USD_Mn","August-2021-22_INR_Cr","August-2021-22_USD_Mn","August-2022-23_INR_Cr","August-2022-23_USD_Mn","August-2023-24_INR_Cr","August-2023-24_USD_Mn","August-2024-25_INR_Cr","August-2024-25_USD_Mn","August-2025-26_INR_Cr","August-2025-26_USD_Mn","December-2019-20_INR_Cr","December-2019-20_USD_Mn","December-2020-21_INR_Cr","December-2020-21_USD_Mn","December-2021-22_INR_Cr","December-2021-22_USD_Mn","December-2022-23_INR_Cr","December-2022-23_USD_Mn","December-2023-24_INR_Cr","December-2023-24_USD_Mn","December-2024-25_INR_Cr","December-2024-25_USD_Mn","December-2025-26_INR_Cr","December-2025-26_USD_Mn","February-2019-20_INR_Cr","February-2019-20_USD_Mn","February-2020-21_INR_Cr","February-2020-21_USD_Mn","February-2021-22_INR_Cr","February-2021-22_USD_Mn","February-2022-23_INR_Cr","February-2022-23_USD_Mn","February-2023-24_INR_Cr","February-2023-24_USD_Mn","February-2024-25_INR_Cr","February-2024-25_USD_Mn","February-2025-26_INR_Cr","February-2025-26_USD_Mn","January-2019-20_INR_Cr","January-2019-20_USD_Mn","January-2020-21_INR_Cr","January-2020-21_USD_Mn","January-2021-22_INR_Cr","January-2021-22_USD_Mn","January-2022-23_INR_Cr","January-2022-23_USD_Mn","January-2023-24_INR_Cr","January-2023-24_USD_Mn","January-2024-25_INR_Cr","January-2024-25_USD_Mn","January-2025-26_INR_Cr","January-2025-26_USD_Mn","July-2019-20_INR_Cr","July-2019-20_USD_Mn","July-2020-21_INR_Cr","July-2020-21_USD_Mn","July-2021-22_INR_Cr","July-2021-22_USD_Mn","July-2022-23_INR_Cr","July-2022-23_USD_Mn","July-2023-24_INR_Cr","July-2023-24_USD_Mn","July-2024-25_INR_Cr","July-2024-25_USD_Mn","July-2025-26_INR_Cr","July-2025-26_USD_Mn","June-2019-20_INR_Cr","June-2019-20_USD_Mn","June-2020-21_INR_Cr","June-2020-21_USD_Mn","June-2021-22_INR_Cr","June-2021-22_USD_Mn","June-2022-23_INR_Cr","June-2022-23_USD_Mn","June-2023-24_INR_Cr","June-2023-24_USD_Mn","June-2024-25_INR_Cr","June-2024-25_USD_Mn","June-2025-26_INR_Cr","June-2025-26_USD_Mn","June-2026-27_INR_Cr","June-2026-27_USD_Mn","March-2019-20_INR_Cr","March-2019-20_USD_Mn","March-2020-21_INR_Cr","March-2020-21_USD_Mn","March-2021-22_INR_Cr","March-2021-22_USD_Mn","March-2022-23_INR_Cr","March-2022-23_USD_Mn","March-2023-24_INR_Cr","March-2023-24_USD_Mn","March-2024-25_INR_Cr","March-2024-25_USD_Mn","March-2025-26_INR_Cr","March-2025-26_USD_Mn","May-2019-20_INR_Cr","May-2019-20_USD_Mn","May-2020-21_INR_Cr","May-2020-21_USD_Mn","May-2021-22_INR_Cr","May-2021-22_USD_Mn","May-2022-23_INR_Cr","May-2022-23_USD_Mn","May-2023-24_INR_Cr","May-2023-24_USD_Mn","May-2024-25_INR_Cr","May-2024-25_USD_Mn","May-2025-26_INR_Cr","May-2025-26_USD_Mn","May-2026-27_INR_Cr","May-2026-27_USD_Mn","November-2019-20_INR_Cr","November-2019-20_USD_Mn","November-2020-21_INR_Cr","November-2020-21_USD_Mn","November-2021-22_INR_Cr","November-2021-22_USD_Mn","November-2022-23_INR_Cr","November-2022-23_USD_Mn","November-2023-24_INR_Cr","November-2023-24_USD_Mn","November-2024-25_INR_Cr","November-2024-25_USD_Mn","November-2025-26_INR_Cr","November-2025-26_USD_Mn","October-2019-20_INR_Cr","October-2019-20_USD_Mn","October-2020-21_INR_Cr","October-2020-21_USD_Mn","October-2021-22_INR_Cr","October-2021-22_USD_Mn","October-2022-23_INR_Cr","October-2022-23_USD_Mn","October-2023-24_INR_Cr","October-2023-24_USD_Mn","October-2024-25_INR_Cr","October-2024-25_USD_Mn","October-2025-26_INR_Cr","October-2025-26_USD_Mn","September-2019-20_INR_Cr","September-2019-20_USD_Mn","September-2020-21_INR_Cr","September-2020-21_USD_Mn","September-2021-22_INR_Cr","September-2021-22_USD_Mn","September-2022-23_INR_Cr","September-2022-23_USD_Mn","September-2023-24_INR_Cr","September-2023-24_USD_Mn","September-2024-25_INR_Cr","September-2024-25_USD_Mn","September-2025-26_INR_Cr","September-2025-26_USD_Mn"
"105","30","PHARMACEUTICAL PRODUCTS","BURUNDI","6.263","0.902","5.184","0.680","7.017","0.942","5.242","0.688","8.298","1.012","10.830","1.298","16.720","1.954","12.926","1.382","8.198","1.152","16.476","2.206","4.933","0.665","4.464","0.561","4.682","0.566","4.788","0.571","5.541","0.633","24.142","3.391","22.455","3.051","15.819","2.099","15.014","1.821","8.066","0.969","4.956","0.583","6.094","0.676","15.145","2.119","5.518","0.758","24.820","3.309","3.987","0.483","6.885","0.830","6.847","0.786","8.351","0.920","6.007","0.842","16.142","2.208","5.666","0.761","5.305","0.648","9.903","1.191","4.594","0.533","13.523","1.489","10.409","1.513","15.257","2.034","5.704","0.765","11.289","1.418","6.525","0.794","7.328","0.877","5.061","0.588","9.024","1.300","13.942","1.841","11.673","1.587","7.167","0.918","5.911","0.719","10.963","1.313","15.264","1.777","26.731","2.815","4.766","0.641","15.027","2.064","13.498","1.770","12.865","1.563","4.444","0.535","10.307","1.190","10.628","1.146","10.386","1.489","6.149","0.813","9.828","1.341","9.019","1.167","3.796","0.461","14.740","1.767","4.385","0.515","6.538","0.684","14.171","1.983","18.694","2.519","14.888","1.998","11.063","1.352","6.119","0.735","7.076","0.839","9.279","1.045","18.566","2.614","23.546","3.205","5.106","0.682","3.983","0.484","18.161","2.182","15.414","1.834","5.336","0.604","5.211","0.730","20.813","2.832","12.252","1.665","12.737","1.588","9.159","1.103","7.232","0.863","19.600","2.219"
"106","30","PHARMACEUTICAL PRODUCTS","TAIWAN","6.124","0.882","2.887","0.379","6.206","0.833","6.904","0.906","10.161","1.239","15.319","1.837","17.741","2.073","32.359","3.459","8.539","1.200","8.419","1.127","8.491","1.145","6.122","0.770","11.186","1.351","9.959","1.187","12.835","1.467","6.548","0.920","8.186","1.112","8.034","1.066","14.914","1.809","18.321","2.200","39.399","4.636","15.810","1.755","6.377","0.892","7.402","1.017","7.802","1.040","12.881","1.559","11.846","1.428","11.801","1.356","18.105","1.995","5.533","0.776","6.350","0.869","9.051","1.216","8.023","0.980","14.407","1.733","12.445","1.443","22.064","2.430","1.914","0.278","5.505","0.734","7.163","0.961","12.171","1.529","14.951","1.820","20.205","2.417","29.571","3.434","3.142","0.452","4.363","0.576","7.693","1.046","15.352","1.966","14.934","1.816","18.399","2.204","12.942","1.507","51.916","5.467","6.891","0.927","5.047","0.693","8.419","1.104","30.742","3.736","14.757","1.778","32.393","3.739","29.532","3.184","4.567","0.654","5.727","0.757","6.226","0.850","8.497","1.099","10.177","1.236","11.408","1.368","19.904","2.336","20.869","2.183","5.524","0.773","5.505","0.742","9.093","1.221","20.593","2.517","10.858","1.304","11.270","1.336","24.762","2.788","3.183","0.448","7.678","1.045","7.959","1.062","10.430","1.267","9.475","1.138","9.693","1.154","23.083","2.611","7.578","1.062","6.522","0.888","8.037","1.093","7.006","0.873","10.604","1.277","40.942","4.885","39.144","4.432"
"107","30","PHARMACEUTICAL PRODUCTS","AUSTRIA","6.042","0.870","4.257","0.558","7.208","0.968","9.143","1.200","5.610","0.684","2.834","0.340","6.599","0.771","6.646","0.710","5.905","0.830","12.025","1.610","13.651","1.840","1.985","0.250","3.798","0.459","6.044","0.720","5.970","0.682","6.111","0.858","1.663","0.226","19.164","2.543","3.260","0.395","5.351","0.643","3.783","0.445","12.094","1.342","2.452","0.343","9.971","1.371","12.974","1.730","8.101","0.981","2.114","0.255","4.924","0.566","6.642","0.732","4.080","0.572","8.894","1.216","10.956","1.472","2.439","0.298","7.899","0.950","4.328","0.502","14.834","1.634","5.899","0.857","4.533","0.604","8.063","1.082","2.721","0.342","5.606","0.682","9.845","1.178","5.080","0.590","4.298","0.619","12.139","1.603","9.387","1.276","6.595","0.845","3.384","0.411","6.207","0.744","7.025","0.818","5.757","0.606","4.878","0.656","8.556","1.175","18.490","2.425","4.891","0.594","7.487","0.902","12.092","1.396","6.225","0.671","6.400","0.917","3.976","0.526","10.832","1.478","2.583","0.334","4.084","0.496","8.749","1.049","9.788","1.149","4.995","0.523","2.901","0.406","12.823","1.728","13.122","1.761","5.422","0.663","4.694","0.564","8.839","1.048","8.755","0.986","6.897","0.971","4.867","0.662","9.833","1.313","5.895","0.716","7.806","0.938","7.284","0.867","5.214","0.590","4.749","0.666","7.057","0.960","45.455","6.179","6.332","0.789","6.785","0.817","2.275","0.271","6.748","0.764"
"108","30","PHARMACEUTICAL PRODUCTS","LAO PD RP","5.983","0.862","2.513","0.330","1.661","0.223","0.754","0.099","3.582","0.437","4.989","0.598","6.781","0.793","8.404","0.898","1.183","0.166","1.046","0.140","1.734","0.234","3.276","0.412","3.566","0.431","3.598","0.429","14.198","1.622","3.194","0.449","2.498","0.339","4.069","0.540","12.195","1.479","3.056","0.367","5.256","0.618","9.715","1.078","3.076","0.430","2.263","0.311","7.637","1.018","2.354","0.285","6.794","0.819","5.097","0.585","6.287","0.693","1.672","0.234","0.375","0.051","1.275","0.171","4.698","0.574","2.652","0.319","7.500","0.869","6.786","0.747","2.600","0.378","2.979","0.397","1.194","0.160","0.708","0.089","5.180","0.631","5.179","0.619","9.981","1.159","4.598","0.662","10.064","1.329","1.506","0.205","3.035","0.389","6.155","0.749","6.509","0.780","12.473","1.452","6.115","0.644","1.835","0.247","3.016","0.414","0.892","0.117","3.798","0.462","3.449","0.416","6.453","0.745","7.522","0.811","2.355","0.338","1.828","0.242","2.925","0.399","6.278","0.812","2.143","0.260","4.710","0.565","6.259","0.735","8.613","0.901","0.973","0.136","7.068","0.952","2.071","0.278","1.654","0.202","4.925","0.591","3.007","0.356","5.892","0.663","2.535","0.357","2.144","0.292","0.441","0.059","1.822","0.221","2.981","0.358","3.203","0.381","3.665","0.415","0.765","0.107","6.802","0.926","1.480","0.201","4.426","0.552","8.169","0.984","5.584","0.666","12.832","1.453"
"109","30","PHARMACEUTICAL PRODUCTS","INDONESIA","5.833","0.840","30.361","3.982","26.359","3.539","94.125","12.358","27.025","3.295","27.812","3.335","46.814","5.471","136.456","14.586","7.750","1.089","23.933","3.205","94.619","12.755","11.658","1.465","77.498","9.361","119.682","14.266","89.101","10.181","4.120","0.579","72.547","9.858","71.880","9.537","44.914","5.446","93.290","11.202","43.093","5.071","156.746","17.399","46.754","6.540","28.099","3.862","30.533","4.071","23.364","2.828","43.713","5.269","25.568","2.937","137.032","15.103","18.549","2.601","71.536","9.785","12.690","1.705","58.817","7.182","49.362","5.939","42.947","4.978","114.967","12.662","15.736","2.287","19.438","2.592","155.785","20.903","33.257","4.178","19.554","2.380","42.008","5.025","73.529","8.539","69.852","10.059","19.716","2.604","128.235","17.433","26.197","3.355","164.047","19.949","83.095","9.955","54.587","6.355","121.432","12.786","44.864","6.034","53.254","7.316","135.343","17.751","71.157","8.647","38.970","4.695","108.670","12.543","190.113","20.495","12.533","1.796","17.125","2.263","16.691","2.278","179.263","23.185","21.980","2.669","75.284","9.028","41.962","4.926","144.322","15.097","11.205","1.568","59.927","8.074","73.833","9.911","44.706","5.465","76.116","9.138","56.269","6.670","118.392","13.329","11.676","1.644","99.264","13.513","43.254","5.774","32.588","3.958","38.754","4.656","70.334","8.370","96.973","10.968","7.979","1.119","55.620","7.569","114.185","15.522","24.024","2.994","26.589","3.202","31.647","3.776","104.582","11.841"
"110","30","PHARMACEUTICAL PRODUCTS","LIBYA","5.740","0.827","0.259","0.034","7.083","0.951","12.971","1.703","9.237","1.126","7.379","0.885","5.838","0.682","5.307","0.567","6.260","0.880","4.380","0.587","16.226","2.187","1.836","0.231","5.984","0.723","4.312","0.514","11.284","1.289","4.673","0.656","14.234","1.934","16.496","2.189","19.107","2.317","41.947","5.037","3.227","0.380","6.308","0.700","4.272","0.598","10.121","1.391","10.417","1.389","8.458","1.024","31.102","3.749","9.981","1.146","4.640","0.511","2.021","0.283","12.470","1.706","4.561","0.613","8.773","1.071","16.223","1.952","2.267","0.263","19.789","2.179","1.495","0.217","6.081","0.811","4.556","0.611","3.639","0.457","11.617","1.414","9.717","1.162","11.047","1.283","4.024","0.580","3.526","0.466","8.471","1.152","2.651","0.340","3.491","0.425","6.389","0.765","19.463","2.266","7.189","0.757","0.935","0.126","6.502","0.893","14.805","1.942","35.122","4.268","14.361","1.730","18.456","2.130","14.668","1.581","1.480","0.212","1.975","0.261","5.931","0.810","8.231","1.064","5.691","0.691","7.232","0.867","0.527","0.062","11.366","1.189","4.313","0.604","25.509","3.437","6.111","0.820","9.329","1.140","14.601","1.753","4.363","0.517","2.709","0.305","9.543","1.343","9.653","1.314","9.737","1.300","4.066","0.494","6.003","0.721","6.607","0.786","5.367","0.607","6.737","0.944","10.285","1.400","15.644","2.127","7.812","0.974","12.710","1.530","7.956","0.949","4.843","0.548"
"111","30","PHARMACEUTICAL PRODUCTS","COSTA RICA","5.516","0.794","4.447","0.583","6.668","0.895","6.850","0.899","11.800","1.439","18.245","2.188","12.165","1.422","17.993","1.923","7.355","1.034","13.710","1.836","13.181","1.777","8.069","1.014","11.343","1.370","18.422","2.196","14.648","1.674","13.150","1.847","13.326","1.811","11.881","1.576","14.118","1.712","24.858","2.985","20.572","2.421","24.390","2.707","11.217","1.569","10.838","1.490","10.505","1.401","12.099","1.465","19.081","2.300","17.619","2.024","17.527","1.932","6.683","0.937","7.650","1.046","7.050","0.947","18.107","2.211","10.053","1.209","21.681","2.513","23.453","2.583","8.646","1.257","8.531","1.138","6.056","0.813","12.611","1.584","9.764","1.188","21.631","2.588","16.282","1.891","7.362","1.060","9.589","1.266","11.430","1.554","11.877","1.521","11.108","1.351","17.204","2.061","17.663","2.056","32.635","3.436","5.615","0.755","9.264","1.273","7.699","1.010","15.304","1.860","28.295","3.409","26.714","3.083","43.779","4.720","10.615","1.521","9.071","1.199","8.054","1.099","10.743","1.389","9.652","1.172","20.512","2.460","18.803","2.207","21.232","2.221","9.520","1.332","9.147","1.232","10.849","1.456","8.782","1.073","9.235","1.109","16.520","1.958","17.169","1.933","10.966","1.544","8.920","1.214","9.677","1.292","16.787","2.039","17.921","2.153","24.455","2.910","14.097","1.594","12.082","1.694","15.483","2.107","11.765","1.599","8.118","1.012","9.623","1.159","18.430","2.199","29.396","3.328"
"112","30","PHARMACEUTICAL PRODUCTS","TUNISIA","5.282","0.761","11.923","1.564","2.681","0.360","7.149","0.939","7.756","0.946","5.991","0.718","6.830","0.798","3.212","0.343","0.500","0.070","4.180","0.560","2.359","0.318","5.905","0.742","1.374","0.166","5.043","0.601","6.043","0.690","7.480","1.051","2.388","0.325","2.874","0.381","5.391","0.654","6.501","0.781","31.084","3.658","16.934","1.880","3.964","0.554","6.436","0.885","5.235","0.698","16.317","1.975","2.082","0.251","19.468","2.236","12.738","1.404","6.490","0.910","4.089","0.559","4.869","0.654","3.667","0.448","12.410","1.493","9.395","1.089","1.867","0.206","3.232","0.470","4.369","0.583","6.393","0.858","7.296","0.917","13.395","1.631","2.646","0.317","16.383","1.902","3.827","0.551","7.470","0.987","7.823","1.063","22.296","2.856","9.775","1.189","26.572","3.183","16.311","1.899","28.198","2.969","0.492","0.066","7.965","1.094","14.659","1.923","22.219","2.700","36.202","4.362","14.454","1.668","13.062","1.408","7.639","1.095","1.219","0.161","2.009","0.274","6.183","0.800","0.831","0.101","4.466","0.536","12.788","1.501","5.945","0.622","2.026","0.284","4.973","0.670","1.370","0.184","12.920","1.579","7.459","0.895","27.578","3.269","8.772","0.988","5.022","0.707","3.969","0.540","3.343","0.446","1.147","0.139","3.608","0.433","4.432","0.527","6.939","0.785","6.900","0.967","11.963","1.628","6.017","0.818","11.751","1.465","8.133","0.979","24.944","2.976","13.651","1.546"
"113","30","PHARMACEUTICAL PRODUCTS","ISRAEL","5.247","0.756","47.613","6.245","6.453","0.867","11.917","1.565","7.706","0.939","7.535","0.903","13.161","1.538","16.882","1.805","7.805","1.097","24.853","3.328","7.649","1.031","11.222","1.411","15.749","1.902","4.909","0.585","24.973","2.853","4.414","0.620","3.717","0.505","5.801","0.770","19.656","2.384","12.164","1.461","11.440","1.346","23.717","2.633","9.396","1.314","9.537","1.311","18.787","2.505","15.831","1.916","7.496","0.904","4.213","0.484","11.426","1.259","4.779","0.670","7.132","0.975","12.598","1.692","29.082","3.551","19.728","2.373","18.827","2.182","16.652","1.834","9.445","1.373","21.208","2.828","5.268","0.707","12.802","1.608","18.351","2.234","5.118","0.612","20.696","2.403","6.419","0.924","80.891","10.682","3.873","0.526","16.775","2.149","7.749","0.942","16.557","1.984","3.235","0.377","7.724","0.813","11.518","1.549","4.398","0.604","13.763","1.805","13.244","1.609","11.358","1.368","8.528","0.984","12.205","1.316","2.061","0.295","45.625","6.030","3.227","0.440","13.075","1.691","6.208","0.754","8.694","1.043","7.618","0.894","13.948","1.459","8.353","1.169","7.446","1.003","17.291","2.321","22.109","2.702","3.728","0.448","7.887","0.935","16.428","1.849","2.786","0.392","8.174","1.113","12.149","1.622","6.555","0.796","6.514","0.783","11.318","1.347","14.339","1.622","12.337","1.729","28.319","3.854","13.122","1.784","5.956","0.742","10.567","1.272","17.257","2.059","12.331","1.396"
"114","30","PHARMACEUTICAL PRODUCTS","MONGOLIA","5.177","0.746","0.563","0.074","3.134","0.421","5.328","0.700","5.122","0.625","7.719","0.926","4.281","0.500","4.945","0.529","4.119","0.579","6.048","0.810","5.243","0.707","10.384","1.305","7.920","0.957","6.471","0.771","4.995","0.571","3.979","0.559","5.389","0.732","6.746","0.895","5.521","0.669","3.639","0.437","5.859","0.689","5.700","0.633","2.456","0.344","7.267","0.999","4.322","0.576","6.792","0.822","4.615","0.556","6.003","0.690","3.444","0.380","2.270","0.318","3.354","0.459","6.572","0.883","3.116","0.380","2.801","0.337","1.303","0.151","4.852","0.534","4.512","0.656","2.695","0.359","14.475","1.942","6.990","0.878","5.146","0.626","10.511","1.257","7.336","0.852","2.784","0.401","9.238","1.220","5.146","0.700","8.825","1.130","11.295","1.374","6.553","0.785","8.570","0.998","4.310","0.454","2.205","0.297","4.211","0.578","4.401","0.577","2.529","0.307","5.170","0.623","6.906","0.797","2.499","0.269","3.065","0.439","3.087","0.408","2.912","0.397","4.871","0.630","6.907","0.839","4.850","0.582","10.063","1.181","12.009","1.256","2.151","0.301","1.658","0.223","26.765","3.593","4.007","0.490","2.525","0.303","4.283","0.508","6.313","0.711","4.198","0.591","11.535","1.570","17.685","2.361","1.704","0.207","3.721","0.447","4.749","0.565","2.622","0.297","2.439","0.342","4.974","0.677","8.965","1.219","3.283","0.409","3.920","0.472","6.649","0.793","4.211","0.477"
"115","30","PHARMACEUTICAL PRODUCTS","BULGARIA","5.006","0.721","10.146","1.331","10.110","1.358","5.301","0.696","4.422","0.539","5.670","0.680","4.464","0.522","6.279","0.671","15.505","2.179","5.859","0.785","6.192","0.835","7.594","0.955","5.697","0.688","6.077","0.724","6.636","0.758","8.740","1.228","11.408","1.550","3.798","0.504","4.013","0.487","6.376","0.766","5.389","0.634","5.247","0.582","7.044","0.985","6.579","0.904","10.031","1.337","5.550","0.672","5.632","0.679","4.430","0.509","7.674","0.846","19.139","2.684","11.078","1.515","7.094","0.953","2.825","0.345","1.950","0.235","3.742","0.434","6.083","0.670","9.547","1.387","7.826","1.044","5.723","0.768","7.774","0.977","8.711","1.060","3.959","0.474","2.690","0.312","8.333","1.200","12.440","1.643","6.290","0.855","3.025","0.387","6.465","0.786","8.097","0.970","10.500","1.222","5.098","0.537","2.503","0.337","8.231","1.131","4.533","0.595","5.982","0.727","6.500","0.783","9.514","1.098","5.625","0.606","16.801","2.408","11.369","1.503","4.323","0.590","6.659","0.861","8.096","0.983","6.659","0.799","2.006","0.235","22.679","2.372","7.311","1.023","13.630","1.836","10.158","1.364","3.486","0.426","8.967","1.077","4.073","0.483","6.474","0.729","6.473","0.911","12.167","1.656","11.214","1.497","2.823","0.343","4.089","0.491","4.963","0.591","2.860","0.323","9.689","1.358","9.024","1.228","11.623","1.580","7.053","0.879","7.567","0.911","6.883","0.821","6.165","0.698"
"116","30","PHARMACEUTICAL PRODUCTS","GUYANA","4.435","0.639","0.714","0.094","16.908","2.270","6.938","0.911","11.384","1.388","9.653","1.157","9.686","1.132","14.170","1.515","4.607","0.648","3.771","0.505","16.531","2.228","10.238","1.287","6.302","0.761","5.121","0.610","8.360","0.955","2.288","0.321","2.378","0.323","7.888","1.046","12.044","1.461","7.578","0.910","7.172","0.844","20.022","2.222","3.339","0.467","13.771","1.893","10.600","1.413","12.304","1.489","11.721","1.413","10.279","1.181","16.384","1.806","2.537","0.356","7.429","1.016","7.753","1.041","5.428","0.663","8.743","1.052","17.435","2.021","10.181","1.121","5.295","0.769","4.945","0.659","6.926","0.929","6.332","0.795","4.540","0.553","4.054","0.485","5.937","0.689","3.367","0.485","3.495","0.461","13.705","1.863","7.107","0.910","9.993","1.215","11.346","1.359","11.358","1.322","3.956","0.417","1.538","0.207","6.290","0.864","13.385","1.756","13.202","1.604","16.309","1.965","15.032","1.735","17.360","1.871","3.401","0.487","3.558","0.470","5.742","0.784","4.962","0.642","8.434","1.024","17.284","2.073","11.597","1.361","9.031","0.945","3.491","0.489","3.231","0.435","8.702","1.168","15.905","1.944","2.580","0.310","10.359","1.228","20.464","2.304","1.932","0.272","4.965","0.676","12.082","1.613","10.357","1.258","4.945","0.594","6.775","0.806","19.832","2.243","2.666","0.374","5.687","0.774","16.931","2.302","6.628","0.826","8.020","0.966","7.390","0.882","16.431","1.860"
"117","30","PHARMACEUTICAL PRODUCTS","LEBANON","4.433","0.639","5.631","0.739","27.685","3.717","6.071","0.797","17.208","2.098","25.597","3.069","14.496","1.694","18.602","1.988","14.278","2.007","11.710","1.568","4.256","0.574","7.884","0.991","10.940","1.321","9.565","1.140","22.531","2.574","5.330","0.749","23.711","3.222","20.380","2.704","18.056","2.190","18.582","2.231","6.028","0.709","18.742","2.080","2.742","0.384","13.824","1.900","8.045","1.073","19.318","2.338","19.690","2.373","11.661","1.340","19.999","2.204","8.343","1.170","13.457","1.841","6.689","0.899","12.454","1.521","16.658","2.004","29.893","3.465","20.747","2.285","9.384","1.364","20.005","2.668","7.673","1.030","11.660","1.465","19.145","2.330","11.967","1.432","14.865","1.726","16.124","2.322","5.319","0.702","5.180","0.704","12.698","1.626","21.766","2.647","13.610","1.630","11.561","1.346","30.661","3.228","11.288","1.518","15.082","2.072","15.262","2.002","20.961","2.547","23.751","2.862","12.043","1.390","12.720","1.371","19.986","2.864","6.183","0.817","7.648","1.044","11.344","1.467","6.159","0.748","17.577","2.108","18.090","2.124","13.510","1.413","4.399","0.616","16.585","2.235","7.113","0.955","11.277","1.378","9.831","1.180","5.992","0.710","33.813","3.807","6.024","0.848","3.511","0.478","11.860","1.583","17.491","2.124","17.824","2.141","11.110","1.322","22.939","2.594","14.281","2.002","12.716","1.730","7.685","1.045","5.803","0.723","15.246","1.836","12.401","1.480","22.299","2.525"
"118","30","PHARMACEUTICAL PRODUCTS","CONGO P REP","4.205","0.606","7.200","0.944","5.003","0.672","20.161","2.647","11.674","1.423","5.340","0.640","23.476","2.744","5.104","0.546","10.271","1.444","7.590","1.016","10.872","1.466","6.672","0.839","7.829","0.946","9.425","1.123","9.062","1.035","19.062","2.678","3.149","0.428","5.619","0.746","6.775","0.822","8.108","0.974","15.873","1.868","11.412","1.267","13.229","1.850","6.232","0.857","20.202","2.694","3.498","0.423","12.565","1.515","3.416","0.392","4.996","0.551","10.390","1.457","7.338","1.004","8.503","1.142","2.359","0.288","21.823","2.625","12.902","1.496","8.287","0.913","9.846","1.431","9.565","1.275","14.709","1.974","7.206","0.905","14.508","1.766","9.333","1.116","5.415","0.629","5.462","0.787","4.098","0.541","3.062","0.416","20.342","2.605","15.601","1.897","2.803","0.336","4.938","0.575","18.254","1.922","15.141","2.036","6.748","0.927","5.596","0.734","2.488","0.302","7.355","0.886","13.267","1.531","6.408","0.691","9.155","1.312","3.332","0.440","4.257","0.581","10.324","1.335","7.931","0.963","21.417","2.568","14.385","1.689","14.193","1.485","15.626","2.187","2.941","0.396","22.507","3.021","3.165","0.387","6.413","0.770","5.561","0.659","14.216","1.600","8.383","1.180","5.478","0.746","26.720","3.567","6.732","0.818","3.950","0.475","7.278","0.866","12.659","1.432","11.987","1.680","7.367","1.003","6.704","0.911","2.551","0.318","8.289","0.998","17.570","2.096","1.592","0.180"
"119","30","PHARMACEUTICAL PRODUCTS","LITHUANIA","4.169","0.600","6.629","0.870","5.674","0.762","12.632","1.658","7.429","0.906","6.330","0.759","14.115","1.650","10.305","1.102","9.850","1.384","14.886","1.994","20.198","2.723","26.621","3.346","9.204","1.112","3.666","0.437","6.850","0.783","6.760","0.950","11.722","1.593","14.015","1.859","21.669","2.628","10.604","1.273","12.754","1.501","18.349","2.037","8.189","1.145","2.635","0.362","13.452","1.793","10.578","1.280","16.690","2.012","8.082","0.928","2.172","0.239","13.232","1.855","11.019","1.507","10.149","1.363","13.663","1.668","16.507","1.986","4.346","0.504","4.326","0.476","5.412","0.786","4.627","0.617","6.896","0.925","5.032","0.632","10.881","1.325","1.923","0.230","4.568","0.531","7.162","1.031","8.301","1.096","5.321","0.723","13.294","1.703","13.624","1.657","24.155","2.894","26.697","3.108","19.909","2.096","13.668","1.838","17.204","2.363","26.286","3.448","15.032","1.827","30.412","3.664","5.888","0.680","12.300","1.326","10.734","1.538","10.807","1.428","11.300","1.542","19.411","2.510","13.073","1.588","10.332","1.239","3.145","0.369","5.868","0.614","4.316","0.604","11.039","1.487","6.946","0.932","40.091","4.900","4.911","0.590","3.927","0.466","5.487","0.618","9.268","1.305","13.003","1.770","10.837","1.447","10.230","1.242","16.855","2.025","4.420","0.526","3.367","0.381","12.129","1.700","18.281","2.488","10.019","1.362","11.310","1.410","6.645","0.800","9.733","1.161","15.180","1.719"
